ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
erstens2D,building,building,building,building,building,objects,building,building,building,building,building,objects,objects,route,objects,objects,route,building,building,building,building,building,route,objects,building,building,building,building,building,building
zweitens2D,objects,objecte,route,route,objects,building,objects,route,objects,objects,route,route,route,objects,building,route,objects,objects,objects,objects,objects,objects,objects,building,objects,objects,route ,objects,route,objects
drittens2D,route,route,objects,objectss,route,route,floorbyfloor,objects,route,floorbyfloor,floorbyfloor,building,building,-,route,mixed,-,route,route,mixed,mixed,floorbyfloor,mixed,mixed,route,mixed,objects,route,objects,mixed
viertens2D,mixed/floorbyfloor,buildingandobjectsfloorbyfloor,-,mixed,mixed,mixed,route,mixed,mixed,route,object,mixed,-,-,floorbyfloor,-,-,-,-,route,route,route,building,route,floorbyfloor,route,mixed,floorbyfloor,floorbyfloor,route
erstens3D,building,building,building,route,building,objects,building,building,building,building,building,objects,building,route,objects,route,route,building,building,building,building,building,route,objects,building,objects,building,building,objects,building
zweitens3D,route,objects,route,objects,objects,building,objects,objects,objects,objects,route,route,objects,objects,building,objects,objects,objects,objects,objects,objects,objects,objects,building,objects,building,objects,objects,building,objects
drittens3D,objects,route,objects,mixed,route,mixed,mixed,route,route,route,object,building,route,-,mixed,-,-,route,route,floorbyfloor,route,route,building,mixed,route,mixed,mixed,mixed,route,route
viertens3D,mixed/floorbyfloor,buildingandobjectsfloorbyfloor,-,-,-,route,route,-,mixed,-,-,mixed,-,-,route,-,-,-,-,route,-,mixed,-,route,mixed,route,route,route,floorbyfloor,-
MotionSickness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorientation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durationminutes,77,67,49,78,71,59,62,74,59,54,58,53,55,42,71,60,61,67,49,50,49,46,63,72,57,69,81,76,92,66
duration2Dminutes,18,13,3,9,8,4,10,23,8,3,7,4,6,1,14,4,7,9,7,8,6,6,12,10,8,9,16,9,17,6
duration3Dminutes,11,16,12,27,14,15,13,13,12,12,13,9,9,3,19,14,12,12,9,10,6,13,12,14,8,13,17,23,30,20
numberOfPaper2D,3,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,1
